id_farmacia,ean,stock,precio,promo
11,30093669,0,125.50,No Promo
11,30093706,0,125.50,No Promo
11,30093720,0,125.50,No Promo
11,30093737,0,125.50,No Promo
11,30093775,0,78.70,No Promo
11,30093812,0,125.50,No Promo
11,30093836,0,125.50,No Promo
11,30093843,0,125.50,No Promo
11,30093904,0,125.50,No Promo
11,30093911,0,125.50,No Promo
11,30093928,0,125.50,No Promo
11,30093935,0,125.50,No Promo
11,30093966,0,125.50,No Promo
11,30093980,0,126.80,No Promo
11,30093997,0,125.50,No Promo
11,30094000,0,78.70,No Promo
11,30094031,0,125.50,No Promo
11,30094055,0,125.50,No Promo
11,30094079,0,125.50,No Promo
11,30094109,0,125.50,No Promo
11,30094154,0,125.50,No Promo
11,30094161,0,125.50,No Promo
11,30094178,0,125.50,No Promo
11,30094185,0,125.50,No Promo
11,30094222,0,125.50,No Promo
11,30094239,0,125.50,No Promo
11,30094246,0,125.50,No Promo
11,30094253,0,126.80,No Promo
11,30094260,0,125.50,No Promo
11,30094284,0,125.50,No Promo
11,30094291,0,125.50,No Promo
11,30094307,0,125.50,No Promo
11,30096509,0,126.80,No Promo
11,30096530,0,125.50,No Promo
11,30096547,0,125.50,No Promo
11,30098558,0,128.00,No Promo
11,30098565,0,128.00,No Promo
11,30098572,0,128.00,No Promo
11,30098589,0,128.00,No Promo
11,30098596,0,128.00,No Promo
11,30098619,0,128.00,No Promo
11,30098633,0,128.00,No Promo
11,30098664,0,128.00,No Promo
11,30098817,0,119.60,No Promo
11,30098831,0,119.60,No Promo
11,30099494,0,125.50,No Promo
11,30099524,0,125.50,No Promo
11,30099531,0,125.50,No Promo
11,30099555,0,125.50,No Promo
11,30099562,0,125.50,No Promo
11,30099579,0,125.50,No Promo
11,30101685,0,124.20,No Promo
11,30101784,0,124.20,No Promo
11,30102415,0,71269.00,No Promo
11,30102422,0,71269.00,No Promo
11,30102439,0,2524.00,No Promo
11,30103399,0,125.50,No Promo
11,30103405,0,125.50,No Promo
11,30103665,0,125.50,No Promo
11,30103672,0,125.50,No Promo
11,30103696,0,125.50,No Promo
11,30103719,0,125.50,No Promo
11,30103726,0,125.50,No Promo
11,30103733,0,125.50,No Promo
11,30103986,0,115.90,No Promo
11,30104006,0,115.90,No Promo
11,30104013,0,115.90,No Promo
11,30104020,0,115.90,No Promo
11,30104044,0,115.90,No Promo
11,30104068,0,115.90,No Promo
11,30104075,0,115.90,No Promo
11,30104242,0,115.90,No Promo
11,30104310,0,104.80,No Promo
11,30104327,0,104.00,No Promo
11,30104334,0,78.40,No Promo
11,30104358,0,104.00,No Promo
11,30104372,0,104.30,No Promo
11,30104389,0,104.00,No Promo
11,30105379,0,206.75,No Promo
11,30105843,0,123.20,No Promo
11,30105850,0,148.90,No Promo
11,30106154,0,78.70,No Promo
11,30106161,0,78.70,No Promo
11,30106185,0,78.70,No Promo
11,30106192,0,78.70,No Promo
11,30106208,0,78.70,No Promo
11,30106215,0,78.70,No Promo
11,30106383,0,115.90,No Promo
11,30106390,0,152.00,No Promo
11,30106420,0,115.90,No Promo
11,30106444,0,115.90,No Promo
11,30106451,0,115.90,No Promo
11,30106468,0,115.90,No Promo
11,30106659,2.000,29835.00,No Promo
11,30106772,0,115.90,No Promo
11,30106789,0,115.90,No Promo
11,30107151,0,236.40,No Promo
11,30107168,0,214.90,No Promo
11,30108417,0,17036.00,No Promo
11,30108493,3.000,18569.00,40%
11,30109148,0,128.00,No Promo
11,30109155,0,128.00,No Promo
11,30109315,0,136.70,No Promo
11,30109322,0,282.00,No Promo
11,30109346,0,125.50,No Promo
